Ticker,Price,Number of Shares to Buy,Price-to-Earnings Ratio,PE Percentile,Price-to-Book Ratio,PB Percentile,Price-to-Sales Ratio,PS Percentile,EV/EBITDA,EV/EBITDA Percentile,EV/GP,EV/GP Percentile,RV Score,composite_score
MRK,127.99,N/A,893.16,N/A,8.63,N/A,5.39,N/A,51.58439630486376,N/A,8.004616817317967,N/A,N/A,0.6038649290160777
CLX,145.94,N/A,227.14,N/A,341.74,N/A,2.48,N/A,22.143868365405407,N/A,6.693816417647059,N/A,N/A,0.30563392897129293
AMD,170.42,N/A,324.3,N/A,4.93,N/A,12.14,N/A,85.19648854852849,N/A,23.865776567619715,N/A,N/A,0.2200635944287698
VTRS,11.8,N/A,260.49,N/A,0.6916,N/A,0.9176,N/A,8.381067135721574,N/A,4.847236635293386,N/A,N/A,0.17529965515697074
HD,357.87,N/A,23.68,N/A,339.71,N/A,2.32,N/A,16.214014230522945,N/A,7.751291496938776,N/A,N/A,0.1680460387836446
ARE,124.58,N/A,230.32,N/A,1.18,N/A,7.55,N/A,16.98093634367077,N/A,15.318688782093828,N/A,N/A,0.1552510188544046
IRM,78.64,N/A,125.48,N/A,108.6,N/A,4.19,N/A,18.394074193538128,N/A,11.111308809094284,N/A,N/A,0.13293027005239824
LLY,784.21,N/A,135.21,N/A,69.17,N/A,21.84,N/A,64.74694077324153,N/A,28.379147356620653,N/A,N/A,0.12180796273903892
DAY,61.04,N/A,176.57,N/A,3.96,N/A,6.27,N/A,50.740022731365684,N/A,10.98670986135182,N/A,N/A,0.12038828429396749
AXON,309.9,N/A,134.16,N/A,14.51,N/A,14.96,N/A,121.34141883506645,N/A,23.80477977186089,N/A,N/A,0.09662322540194367
WELL,91.76,N/A,139.94,N/A,2.13,N/A,8.17,N/A,31.326574628144026,N/A,8.194415345314692,N/A,N/A,0.09496170898831117
DXCM,138.93,N/A,109.39,N/A,25.89,N/A,14.79,N/A,67.88232871690428,N/A,23.298683839398837,N/A,N/A,0.08507994088405213
VRSK,227.65,N/A,54.59,N/A,105.3,N/A,12.17,N/A,24.914519208123984,N/A,19.506181557427006,N/A,N/A,0.0838304447131533
EL,144.43,N/A,111.1,N/A,5.89,N/A,2.22,N/A,20.9078890679558,N/A,3.5664196789181037,N/A,N/A,0.07727170943615924
TYL,415.18,N/A,107.01,N/A,6.0,N/A,9.03,N/A,59.15689071073991,N/A,20.704275306618566,N/A,N/A,0.07457342469434368
CL,87.88,N/A,31.73,N/A,118.61,N/A,3.71,N/A,19.040828391459925,N/A,7.047426506886809,N/A,N/A,0.07443459178646603
NVDA,880.08,N/A,73.77,N/A,51.19,N/A,36.12,N/A,63.33889211136891,N/A,49.29741992280084,N/A,N/A,0.0724819741143804
NOW,783.5,N/A,93.05,N/A,21.1,N/A,17.94,N/A,118.97847672809668,N/A,22.344326693333333,N/A,N/A,0.07195799184916477
CSGP,94.75,N/A,102.89,N/A,5.27,N/A,15.76,N/A,106.22922392912173,N/A,17.556090229182583,N/A,N/A,0.07147879439294191
PTC,185.28,N/A,93.58,N/A,7.89,N/A,10.15,N/A,47.00255309813753,N/A,13.98889625814181,N/A,N/A,0.06639795781270992
INTC,38.71,N/A,96.53,N/A,1.55,N/A,3.02,N/A,19.50564517803384,N/A,8.654501404817834,N/A,N/A,0.065540328720498
CDNS,308.02,N/A,80.63,N/A,24.63,N/A,20.5,N/A,65.10902981880662,N/A,22.808989404765324,N/A,N/A,0.06519548569125352
UBER,77.16,N/A,85.53,N/A,12.76,N/A,3.85,N/A,74.59238277536598,N/A,9.968126705207771,N/A,N/A,0.06317121232477943
LDOS,128.66,N/A,89.35,N/A,4.14,N/A,1.13,N/A,12.802983023451594,N/A,9.48812868449198,N/A,N/A,0.06187693134488781
MSI,352.3,N/A,35.48,N/A,80.84,N/A,5.87,N/A,24.632768774206195,N/A,12.64349962635815,N/A,N/A,0.060038514935733804
SMCI,948.02,N/A,73.78,N/A,17.23,N/A,5.73,N/A,58.08505527994487,N/A,34.74506717838514,N/A,N/A,0.057279770701777956
MPWR,654.31,N/A,74.69,N/A,15.53,N/A,17.48,N/A,58.88229044038751,N/A,30.09531985008603,N/A,N/A,0.05712974159165211
ISRG,388.39,N/A,77.21,N/A,10.34,N/A,19.32,N/A,60.51409311294892,N/A,28.00320206935194,N/A,N/A,0.056498275784853766
CMG,2905.42,N/A,65.53,N/A,26.02,N/A,8.07,N/A,40.9143385183681,N/A,11.262194072352903,N/A,N/A,0.05567423529938645
MA,477.15,N/A,40.33,N/A,63.77,N/A,17.61,N/A,29.217015996416006,N/A,17.86454408642123,N/A,N/A,0.05565184289489006
ABBV,170.0,N/A,62.5,N/A,29.06,N/A,5.54,N/A,15.760360347782715,N/A,10.252160195557915,N/A,N/A,0.05500022392404496
DD,75.53,N/A,80.57,N/A,1.3,N/A,2.61,N/A,15.60305477956081,N/A,8.728569269548784,N/A,N/A,0.05470688342514218
ADSK,244.74,N/A,57.72,N/A,35.32,N/A,9.79,N/A,44.68098897370653,N/A,10.774981795868277,N/A,N/A,0.05459268216221058
EQIX,784.41,N/A,76.08,N/A,5.94,N/A,9.06,N/A,26.796819136409916,N/A,22.249582401417204,N/A,N/A,0.053768641676743244
IT,470.36,N/A,42.45,N/A,53.9,N/A,6.21,N/A,29.04940276798646,N/A,9.448066995760938,N/A,N/A,0.05265573917327243
BX,127.58,N/A,69.34,N/A,13.37,N/A,11.36,N/A,28.817869919061877,N/A,12.319253153963789,N/A,N/A,0.05256840879573649
CRM,301.91,N/A,71.88,N/A,4.91,N/A,8.4,N/A,28.929975898774856,N/A,10.947131022951817,N/A,N/A,0.05048591517757177
DIS,118.38,N/A,72.63,N/A,2.16,N/A,2.44,N/A,16.089595864547555,N/A,8.438171767562965,N/A,N/A,0.049758162031438936
AMT,190.17,N/A,59.8,N/A,21.13,N/A,7.96,N/A,18.365708939952054,N/A,15.937324065147902,N/A,N/A,0.04963500380670876
ORCL,124.9,N/A,33.04,N/A,61.05,N/A,6.54,N/A,22.594436699018715,N/A,11.218115864859827,N/A,N/A,0.04953647722692463
DOW,59.69,N/A,71.86,N/A,2.25,N/A,0.9394,N/A,23.435529291106292,N/A,11.0694457,N/A,N/A,0.049281203815665725
PFE,26.66,N/A,71.86,N/A,1.7,N/A,2.58,N/A,21.42535944724233,N/A,6.265617757378808,N/A,N/A,0.049034887366205385
SNPS,575.45,N/A,63.45,N/A,13.15,N/A,14.31,N/A,60.194810698715024,N/A,17.785490064243923,N/A,N/A,0.048513144341439385
INTU,635.74,N/A,65.0,N/A,10.53,N/A,11.79,N/A,44.428585342098856,N/A,15.28209380234506,N/A,N/A,0.04838102915491066
IDXX,519.54,N/A,51.64,N/A,29.07,N/A,11.79,N/A,36.008736526802835,N/A,19.928987604853035,N/A,N/A,0.04770925702001881
AMZN,185.07,N/A,63.82,N/A,9.52,N/A,3.34,N/A,22.150411746079087,N/A,7.013348301863386,N/A,N/A,0.04713601146491111
PODD,165.0,N/A,58.93,N/A,15.75,N/A,6.8,N/A,41.835196209016395,N/A,10.56069096473834,N/A,N/A,0.04664113932554078
COO,98.6,N/A,67.53,N/A,2.55,N/A,5.35,N/A,30.59649043897069,N/A,9.175664246450975,N/A,N/A,0.04650678489856241
NWS,26.46,N/A,66.78,N/A,1.81,N/A,1.49,N/A,11.51020220057102,N/A,1.618243179427998,N/A,N/A,0.04567154821084689
BSX,68.56,N/A,64.07,N/A,5.22,N/A,7.06,N/A,33.53500036579353,N/A,10.997582232137443,N/A,N/A,0.04537820771194411
