Ticker,Price,Number of Shares to Buy,Price-to-Earnings Ratio,PE Percentile,Price-to-Book Ratio,PB Percentile,Price-to-Sales Ratio,PS Percentile,EV/EBITDA,EV/EBITDA Percentile,EV/GP,EV/GP Percentile,RV Score,composite_score
MRK,127.99,,893.16,,8.63,,5.39,,51.58439630486376,,8.004616817317967,,,0.6038649290160777
CLX,145.94,,227.14,,341.74,,2.48,,22.143868365405407,,6.693816417647059,,,0.30563392897129293
AMD,170.42,,324.3,,4.93,,12.14,,85.19648854852849,,23.865776567619715,,,0.2200635944287698
VTRS,11.8,,260.49,,0.6916,,0.9176,,8.381067135721574,,4.847236635293386,,,0.17529965515697074
HD,357.87,,23.68,,339.71,,2.32,,16.214014230522945,,7.751291496938776,,,0.1680460387836446
ARE,124.58,,230.32,,1.18,,7.55,,16.98093634367077,,15.318688782093828,,,0.1552510188544046
IRM,78.64,,125.48,,108.6,,4.19,,18.394074193538128,,11.111308809094284,,,0.13293027005239824
LLY,784.21,,135.21,,69.17,,21.84,,64.74694077324153,,28.379147356620653,,,0.12180796273903892
DAY,61.04,,176.57,,3.96,,6.27,,50.74002273136568,,10.98670986135182,,,0.12038828429396749
AXON,309.9,,134.16,,14.51,,14.96,,121.34141883506643,,23.80477977186089,,,0.09662322540194367
WELL,91.76,,139.94,,2.13,,8.17,,31.326574628144023,,8.194415345314692,,,0.09496170898831117
DXCM,138.93,,109.39,,25.89,,14.79,,67.88232871690428,,23.29868383939884,,,0.08507994088405213
VRSK,227.65,,54.59,,105.3,,12.17,,24.914519208123984,,19.50618155742701,,,0.0838304447131533
EL,144.43,,111.1,,5.89,,2.22,,20.9078890679558,,3.566419678918104,,,0.07727170943615924
TYL,415.18,,107.01,,6.0,,9.03,,59.15689071073991,,20.70427530661857,,,0.07457342469434368
CL,87.88,,31.73,,118.61,,3.71,,19.040828391459925,,7.047426506886809,,,0.07443459178646603
NVDA,880.08,,73.77,,51.19,,36.12,,63.33889211136891,,49.29741992280084,,,0.0724819741143804
NOW,783.5,,93.05,,21.1,,17.94,,118.97847672809668,,22.344326693333333,,,0.07195799184916477
CSGP,94.75,,102.89,,5.27,,15.76,,106.22922392912172,,17.556090229182583,,,0.07147879439294191
PTC,185.28,,93.58,,7.89,,10.15,,47.00255309813753,,13.98889625814181,,,0.06639795781270992
INTC,38.71,,96.53,,1.55,,3.02,,19.50564517803384,,8.654501404817834,,,0.065540328720498
CDNS,308.02,,80.63,,24.63,,20.5,,65.10902981880662,,22.808989404765324,,,0.06519548569125352
UBER,77.16,,85.53,,12.76,,3.85,,74.59238277536598,,9.968126705207773,,,0.06317121232477943
LDOS,128.66,,89.35,,4.14,,1.13,,12.802983023451594,,9.48812868449198,,,0.06187693134488781
MSI,352.3,,35.48,,80.84,,5.87,,24.632768774206195,,12.64349962635815,,,0.060038514935733804
SMCI,948.02,,73.78,,17.23,,5.73,,58.08505527994487,,34.74506717838514,,,0.057279770701777956
MPWR,654.31,,74.69,,15.53,,17.48,,58.88229044038751,,30.09531985008603,,,0.05712974159165211
ISRG,388.39,,77.21,,10.34,,19.32,,60.51409311294892,,28.00320206935194,,,0.056498275784853766
CMG,2905.42,,65.53,,26.02,,8.07,,40.9143385183681,,11.262194072352903,,,0.05567423529938645
MA,477.15,,40.33,,63.77,,17.61,,29.21701599641601,,17.86454408642123,,,0.05565184289489006
ABBV,170.0,,62.5,,29.06,,5.54,,15.760360347782717,,10.252160195557916,,,0.05500022392404496
DD,75.53,,80.57,,1.3,,2.61,,15.60305477956081,,8.728569269548784,,,0.05470688342514218
ADSK,244.74,,57.72,,35.32,,9.79,,44.68098897370653,,10.774981795868277,,,0.05459268216221058
EQIX,784.41,,76.08,,5.94,,9.06,,26.79681913640992,,22.249582401417204,,,0.053768641676743244
IT,470.36,,42.45,,53.9,,6.21,,29.04940276798646,,9.448066995760938,,,0.05265573917327243
BX,127.58,,69.34,,13.37,,11.36,,28.81786991906188,,12.319253153963787,,,0.05256840879573649
CRM,301.91,,71.88,,4.91,,8.4,,28.929975898774856,,10.947131022951815,,,0.05048591517757177
DIS,118.38,,72.63,,2.16,,2.44,,16.089595864547555,,8.438171767562965,,,0.049758162031438936
AMT,190.17,,59.8,,21.13,,7.96,,18.365708939952054,,15.937324065147902,,,0.04963500380670876
ORCL,124.9,,33.04,,61.05,,6.54,,22.594436699018715,,11.218115864859827,,,0.04953647722692463
DOW,59.69,,71.86,,2.25,,0.9394,,23.43552929110629,,11.0694457,,,0.049281203815665725
PFE,26.66,,71.86,,1.7,,2.58,,21.42535944724233,,6.265617757378808,,,0.049034887366205385
SNPS,575.45,,63.45,,13.15,,14.31,,60.194810698715024,,17.785490064243923,,,0.048513144341439385
INTU,635.74,,65.0,,10.53,,11.79,,44.428585342098856,,15.28209380234506,,,0.04838102915491066
IDXX,519.54,,51.64,,29.07,,11.79,,36.008736526802835,,19.928987604853035,,,0.04770925702001881
AMZN,185.07,,63.82,,9.52,,3.34,,22.150411746079087,,7.013348301863386,,,0.04713601146491111
